item_id,item_name,manufacturer_id,manufacturer_name,city_id,city_name,category,date,qty_sold,mrp
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,3,Pune,Toys & Games,2025-09-08,1.0,1499.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,1,Bengaluru,Toys & Games,2025-05-20,1.0,1499.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,3,Pune,Toys & Games,2025-08-25,1.0,1499.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,1,Bengaluru,Toys & Games,2025-06-29,2.0,2998.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,1,Bengaluru,Toys & Games,2025-10-08,2.0,2998.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,221,Dehradun,Toys & Games,2025-11-07,1.0,1499.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,2,Mumbai,Toys & Games,2025-11-08,1.0,1499.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,5,Hyderabad,Toys & Games,2025-07-14,2.0,2998.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,5,Hyderabad,Toys & Games,2025-09-01,1.0,1499.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,315,Belgaum,Toys & Games,2025-09-19,1.0,1499.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,2,Mumbai,Toys & Games,2025-04-10,5.0,7495.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,3,Pune,Toys & Games,2025-08-29,4.0,5996.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,2,Mumbai,Toys & Games,2025-08-29,2.0,2998.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,1,Bengaluru,Toys & Games,2025-11-04,1.0,1499.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,18,Surat,Toys & Games,2025-10-15,1.0,1499.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,7,Delhi,Toys & Games,2025-04-05,1.0,1499.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,15,Kolkata,Toys & Games,2026-02-13,1.0,1499.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,238,Goa,Toys & Games,2025-08-31,1.0,1499.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,1,Bengaluru,Toys & Games,2025-08-07,1.0,1499.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,5,Hyderabad,Toys & Games,2025-04-22,1.0,1499.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,2,Mumbai,Toys & Games,2025-12-15,1.0,1499.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,2,Mumbai,Toys & Games,2026-02-26,1.0,1499.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,7,Delhi,Toys & Games,2025-06-17,1.0,1499.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,6,Ahmedabad,Toys & Games,2025-04-21,2.0,2998.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,15,Kolkata,Toys & Games,2025-08-26,2.0,2998.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,279,Gwalior,Toys & Games,2025-04-24,1.0,1499.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,7,Delhi,Toys & Games,2025-04-12,1.0,1499.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,5,Hyderabad,Toys & Games,2025-08-15,1.0,1499.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,178,Karnal,Toys & Games,2025-09-02,1.0,1499.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,15,Kolkata,Toys & Games,2025-05-29,1.0,1499.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,345,Rampur,Toys & Games,2025-10-02,1.0,1499.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,5,Hyderabad,Toys & Games,2025-12-14,1.0,1499.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,64,Agra,Toys & Games,2025-09-27,1.0,1499.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,15,Kolkata,Toys & Games,2025-05-05,1.0,1999.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,7,Delhi,Toys & Games,2025-05-25,1.0,1499.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,10,Ghaziabad,Toys & Games,2025-05-25,1.0,1499.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,3,Pune,Toys & Games,2025-10-10,1.0,1499.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,188,Hubli,Toys & Games,2025-09-29,1.0,1499.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,5,Hyderabad,Toys & Games,2025-04-02,2.0,2998.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,2,Mumbai,Toys & Games,2025-04-02,3.0,4497.0
