settlement-id	settlement-start-date	settlement-end-date	deposit-date	total-amount	currency	transaction-type	order-id	merchant-order-id	adjustment-id	shipment-id	marketplace-name	amount-type	amount-description	amount	fulfillment-id	posted-date	posted-date-time	order-item-code	merchant-order-item-id	merchant-adjustment-item-id	sku	quantity-purchased	promotion-id
24516702452	30.03.2025 06:40:34 UTC	06.04.2025 06:40:34 UTC	08.04.2025 06:40:34 UTC	-53075.56	INR																		
24516702452						Order	408-4923212-6128315	408-4923212-6128315		U6SGD8Pdl	Amazon.in	ItemFees	FBA Pick & Pack Fee	-14.00	AFN	30.03.2025	30.03.2025 17:11:44 UTC	47746081602602			PortablebusyboardV7	1	
24516702452						Order	408-4923212-6128315	408-4923212-6128315		U6SGD8Pdl	Amazon.in	ItemFees	FBA Pick & Pack Fee CGST	-1.26	AFN	30.03.2025	30.03.2025 17:11:44 UTC	47746081602602			PortablebusyboardV7	1	
24516702452						Order	408-4923212-6128315	408-4923212-6128315		U6SGD8Pdl	Amazon.in	ItemFees	FBA Pick & Pack Fee SGST	-1.26	AFN	30.03.2025	30.03.2025 17:11:44 UTC	47746081602602			PortablebusyboardV7	1	
24516702452						Order	408-4923212-6128315	408-4923212-6128315		U6SGD8Pdl	Amazon.in	ItemFees	FBA Weight Handling Fee	-46.00	AFN	30.03.2025	30.03.2025 17:11:44 UTC	47746081602602			PortablebusyboardV7	1	
24516702452						Order	408-4923212-6128315	408-4923212-6128315		U6SGD8Pdl	Amazon.in	ItemFees	FBA Weight Handling Fee CGST	-4.14	AFN	30.03.2025	30.03.2025 17:11:44 UTC	47746081602602			PortablebusyboardV7	1	
24516702452						Order	408-4923212-6128315	408-4923212-6128315		U6SGD8Pdl	Amazon.in	ItemFees	FBA Weight Handling Fee SGST	-4.14	AFN	30.03.2025	30.03.2025 17:11:44 UTC	47746081602602			PortablebusyboardV7	1	
24516702452						Order	S02-3813109-7219924	ZOP#57048		U3WKHPrdl	Non-Amazon IN	ItemPrice	Order	599.00	AFN	01.04.2025	01.04.2025 09:11:53 UTC	35875652263999	Busybook01		Busybook01	1	
24516702452						Order	406-2591004-7741947	406-2591004-7741947		UVs9qcpBl	Amazon.in	ItemPrice	Principal	891.96	AFN	30.03.2025	30.03.2025 12:56:50 UTC	47792426818002			PortablebusyboardV1.5	1	
24516702452						Order	406-2591004-7741947	406-2591004-7741947		UVs9qcpBl	Amazon.in	ItemPrice	Product Tax	107.04	AFN	30.03.2025	30.03.2025 12:56:50 UTC	47792426818002			PortablebusyboardV1.5	1	
24516702452						Order	406-2591004-7741947	406-2591004-7741947		UVs9qcpBl	Amazon.in	ItemPrice	Shipping	35.71	AFN	30.03.2025	30.03.2025 12:56:50 UTC	47792426818002			PortablebusyboardV1.5	1	
24516702452						Order	406-2591004-7741947	406-2591004-7741947		UVs9qcpBl	Amazon.in	ItemPrice	Shipping tax	4.29	AFN	30.03.2025	30.03.2025 12:56:50 UTC	47792426818002			PortablebusyboardV1.5	1	
24516702452						Order	406-2591004-7741947	406-2591004-7741947		UVs9qcpBl	Amazon.in	ItemTCS	TCS-IGST	-4.46	AFN	30.03.2025	30.03.2025 12:56:50 UTC	47792426818002			PortablebusyboardV1.5	1	
24516702452						Order	406-2591004-7741947	406-2591004-7741947		UVs9qcpBl	Amazon.in	ItemTDS	TDS (Section 194-O)	-0.90	AFN	30.03.2025	30.03.2025 12:56:50 UTC	47792426818002			PortablebusyboardV1.5	1	
24516702452						Order	406-2591004-7741947	406-2591004-7741947		UVs9qcpBl	Amazon.in	ItemFees	FBA Pick & Pack Fee	-14.00	AFN	30.03.2025	30.03.2025 12:56:50 UTC	47792426818002			PortablebusyboardV1.5	1	
24516702452						Order	406-2591004-7741947	406-2591004-7741947		UVs9qcpBl	Amazon.in	ItemFees	FBA Pick & Pack Fee CGST	-1.26	AFN	30.03.2025	30.03.2025 12:56:50 UTC	47792426818002			PortablebusyboardV1.5	1	
24516702452						Order	406-2591004-7741947	406-2591004-7741947		UVs9qcpBl	Amazon.in	ItemFees	FBA Pick & Pack Fee SGST	-1.26	AFN	30.03.2025	30.03.2025 12:56:50 UTC	47792426818002			PortablebusyboardV1.5	1	
24516702452						Order	406-2591004-7741947	406-2591004-7741947		UVs9qcpBl	Amazon.in	ItemFees	FBA Weight Handling Fee	-46.00	AFN	30.03.2025	30.03.2025 12:56:50 UTC	47792426818002			PortablebusyboardV1.5	1	
24516702452						Order	406-2591004-7741947	406-2591004-7741947		UVs9qcpBl	Amazon.in	ItemFees	FBA Weight Handling Fee CGST	-4.14	AFN	30.03.2025	30.03.2025 12:56:50 UTC	47792426818002			PortablebusyboardV1.5	1	
24516702452						Order	406-2591004-7741947	406-2591004-7741947		UVs9qcpBl	Amazon.in	ItemFees	FBA Weight Handling Fee SGST	-4.14	AFN	30.03.2025	30.03.2025 12:56:50 UTC	47792426818002			PortablebusyboardV1.5	1	
24516702452						Order	406-2591004-7741947	406-2591004-7741947		UVs9qcpBl	Amazon.in	ItemFees	Commission	-94.91	AFN	30.03.2025	30.03.2025 12:56:50 UTC	47792426818002			PortablebusyboardV1.5	1	
