settlement-id	settlement-start-date	settlement-end-date	deposit-date	total-amount	currency	transaction-type	order-id	merchant-order-id	adjustment-id	shipment-id	marketplace-name	amount-type	amount-description	amount	fulfillment-id	posted-date	posted-date-time	order-item-code	merchant-order-item-id	merchant-adjustment-item-id	sku	quantity-purchased	promotion-id
26156363812	15.12.2025 02:09:40 UTC	22.12.2025 02:09:41 UTC	24.12.2025 02:09:41 UTC	303188.99	INR																		
26156363812						Order	405-8809976-4666731	405-8809976-4666731		UJY95W02Z	Amazon.in	ItemPrice	Principal	1903.81	AFN	15.12.2025	15.12.2025 05:36:19 UTC	57783290284202			PortableBusyBoard_V09	1	
26156363812						Order	405-8809976-4666731	405-8809976-4666731		UJY95W02Z	Amazon.in	ItemPrice	Product Tax	95.19	AFN	15.12.2025	15.12.2025 05:36:19 UTC	57783290284202			PortableBusyBoard_V09	1	
26156363812						Order	405-8809976-4666731	405-8809976-4666731		UJY95W02Z	Amazon.in	ItemPrice	Shipping	38.10	AFN	15.12.2025	15.12.2025 05:36:19 UTC	57783290284202			PortableBusyBoard_V09	1	
26156363812						Order	405-8809976-4666731	405-8809976-4666731		UJY95W02Z	Amazon.in	ItemPrice	Shipping tax	1.90	AFN	15.12.2025	15.12.2025 05:36:19 UTC	57783290284202			PortableBusyBoard_V09	1	
26156363812						Order	405-8809976-4666731	405-8809976-4666731		UJY95W02Z	Amazon.in	ItemTCS	TCS-IGST	-9.52	AFN	15.12.2025	15.12.2025 05:36:19 UTC	57783290284202			PortableBusyBoard_V09	1	
26156363812						Order	405-8809976-4666731	405-8809976-4666731		UJY95W02Z	Amazon.in	ItemTDS	TDS (Section 194-O)	-1.91	AFN	15.12.2025	15.12.2025 05:36:19 UTC	57783290284202			PortableBusyBoard_V09	1	
26156363812						Order	405-8809976-4666731	405-8809976-4666731		UJY95W02Z	Amazon.in	ItemFees	FBA Pick & Pack Fee	-17.00	AFN	15.12.2025	15.12.2025 05:36:19 UTC	57783290284202			PortableBusyBoard_V09	1	
26156363812						Order	405-8809976-4666731	405-8809976-4666731		UJY95W02Z	Amazon.in	ItemFees	FBA Pick & Pack Fee CGST	-1.53	AFN	15.12.2025	15.12.2025 05:36:19 UTC	57783290284202			PortableBusyBoard_V09	1	
26156363812						Order	405-8809976-4666731	405-8809976-4666731		UJY95W02Z	Amazon.in	ItemFees	FBA Pick & Pack Fee SGST	-1.53	AFN	15.12.2025	15.12.2025 05:36:19 UTC	57783290284202			PortableBusyBoard_V09	1	
26156363812						Order	405-8809976-4666731	405-8809976-4666731		UJY95W02Z	Amazon.in	ItemFees	FBA Weight Handling Fee	-61.00	AFN	15.12.2025	15.12.2025 05:36:19 UTC	57783290284202			PortableBusyBoard_V09	1	
26156363812						Order	405-8809976-4666731	405-8809976-4666731		UJY95W02Z	Amazon.in	ItemFees	FBA Weight Handling Fee CGST	-5.49	AFN	15.12.2025	15.12.2025 05:36:19 UTC	57783290284202			PortableBusyBoard_V09	1	
